First, Second
die Katze, Cat
der Hund, Dog
das Pferd, Horse
die Kuh, Cow
das Schaf, Sheep
die Ziege, Goat
das Schwein, Pig
das Hähnchen, Chicken
der Ente, Duck
die Gans, Goose
der Hase, Rabbit
die Maus, Mouse
der Hamster, Hamster
das Meerschweinchen, Guinea pig
der Goldfisch, Goldfish
die Schildkröte, Turtle
die Schlange, Snake
die Echse, Lizard
der Frosch, Frog
der Kröte, Toad
die Spinne, Spider
die Biene, Bee
der Schmetterling, Butterfly
die Libelle, Dragonfly
die Ameise, Ant
der Käfer, Beetle
der Heuschreck, Grasshopper
der Marienkäfer, Ladybug
der Wurm, Worm
