First,Second
be,sein war gewesen
have,haben hatte gehabt
become,werden wurde geworden
come,kommen kam gekommen
go,gehen ging gegangen
do,tun tat getan
say,sagen sagte gesagt
take,nehmen nahm genommen
make,machen machte gemacht
run,laufen lief gelaufen
drive,fahren fuhr gefahren
meet,treffen traf getroffen
eat,essen ass gegessen
drink,trinken trank getrunken
stay,bleiben blieb geblieben
sleep,schlafen schlief geschlafen
come,kommen kam gekommen
give,geben gab gegeben
find,finden fand gefunden
hold,halten hielt gehalten
bring,bringen brachte gebracht
write,schreiben schrieb geschrieben
read,lesen las gelesen
think,denken dachte gedacht
know,wissen wusste gewusst
